id,name,url
mousepawmedia,MousePaw Media,https://mousepawmedia.com/
mulesoft,MuleSoft,https://www.mulesoft.com/
nannyml,NannyML,https://github.com/NannyML/nannyml
nearform,NearForm,https://www.nearform.com/
netdata,Netdata,https://www.netdata.cloud/
newelements,New Elements,https://newelements.de/
nofluffjobs,No Fluff Jobs,https://nofluffjobs.com/?utm_source=partner_website&utm_medium=logo&utm_campaign=patronage&utm_term=&utm_content=conf42
nownodes,NowNodes,https://nownodes.io/
nuaware,Nuaware,https://www.nuaware.com
nuworks,Nuworks Interactive Labs,https://ecommerce.nuworks.ph
o1,(0)1,https://o1labs.org/
okteto,Okteto,https://www.okteto.com/
openraven,Open Raven,https://www.openraven.com/
opsdrill,OpsDrill,https://opsdrill.com/
opsera,Opsera,https://www.opsera.io/
ordina,Ordina,https://www.ordina.be/en/
oreilly,O'Reilly,https://www.oreilly.com/
owledge,Owledge,https://theowledge.com/
packt,Packt,https://www.packtpub.com/
pagerduty,PagerDuty,https://www.pagerduty.com/
pathwayz,The Pathwayz Group,https://www.thepathwayzgroup.com
perfectscale,PerfectScale,https://www.perfectscale.io/
pinterest,Pinterest,https://www.pinterestcareers.com/job-search-results/?primary_category=IT
pixee,Pixee,https://www.pixee.ai/
plasmic,Plasmic,https://www.plasmic.app
polypane,Polypane,https://polypane.app
postman,Postman,https://www.postman.com/
practicaldevsecops,Practical DevSecOps,https://www.practical-devsecops.com/
prompt_engineering_conference,Prompt Engineering  Conference,https://promptengineering.rocks/
purpleteam,PurpleTeam,https://purpleteam-labs.com/
quadcode,QuadCode,https://quadcode.com/
qubit,Qubit,https://qubit-labs.com
qwinix,Qwinix,https://www.qwinix.io/
rapdev,RapDev,https://rapdev.io/
rapydo,Rapydo.io,https://www.rapydo.io/
rasayel,Rasayel,https://rasayel.io/
reach,Reach Platform,https://reach.sh/
redhat,Red Hat,https://www.redhat.com/
redwerk,Redwerk,https://redwerk.com
restorepoint,Restorepoint,https://www.restorepoint.com
restream,Restream,https://restre.am/59bA
rollbar,Rollbar,https://rollbar.com/signup/?utm=conf42
rookout,Rookout,https://www.rookout.com
rootly,Rootly,https://rootly.com/
semi,Semi Technologies,https://www.semi.technology/products/weaviate/index.html
senhasegura,Senhasegura,https://senhasegura.com/
similarweb,Silimarweb,https://www.similarweb.com/
singlestore,Singlestore,https://www.singlestore.com/
site24x7,Site24x7,https://www.site24x7.com/
sitecore,Sitecore,https://developers.sitecore.com/?utm_source=conference&utm_medium=presentation&utm_campaign=Conf42_CloudNative
skai,Skai,https://skai.io/
sleuth,Sleuth,https://www.sleuth.io
smartbear,SmartBear,https://smartbear.com/
smartnumbers,Smartnumbers,https://hubs.ly/Q016xG910
snyk,Snyk,https://snyk.co/conf24
socket,Socket,https://socket.dev
softrams,Softrams,https://www.softrams.com/
solace,Solace,https://solace.com/?utm_source=golang&utm_medium=referral&utm_content=website-banner-golang&utm_campaign=field_2022
solidjobs,SOLID jobs,https://solid.jobs/offers/it
sonarsource,SonarSource,https://www.sonarsource.com/
sorintlab,Sorint Lab,https://www.sorint.com/en/
spscommerce,SPS Commerce,https://www.spscommerce.com/about/
sreday,SREday,https://www.sreday.com/
stackbuilders,StackBuilders,https://www.stackbuilders.com/
stackpulse,StackPulse,https://stackpulse.com
starterai,StarterAI,https://www.starterai.dev/
steadybit,Steadybit,https://steadybit.com/
stepzen,StepZen,https://stepzen.com/
stormforge,Stormforge,https://www.stormforge.io/
storyblok,Storyblok,https://www.storyblok.com/
streamnative,StreamNative,https://streamnative.io/en/cloud/hosted
strongcrypto,Strong Crypto Innovations,https://www.strongcrypto.com/
styra,Styra,https://www.styra.com/das-free?utm_medium=direct&utm_source=tradeshow&utm_campaign=dmge&utm_content=conf42sre_event-tradeshow
superlinked,Superlinked,https://superlinked.com/?ref=conf42
surrealdb,SurrealDB,https://surrealdb.com/
sveltos,Sveltos,https://projectsveltos.github.io/sveltos/
syntasso,Syntasso,https://www.syntasso.io/
sysdig,Sysdig,https://sysdig.com/
teamcore,Teamcore,https://www.youtube.com/watch?v=7YwcDJrgck4
teamland,Teamland,https://www.ourteamland.com/
techevents,Tech Events Online,https://www.techevents.online
telemetryhub,TelemetryHub,https://ter.li/m8p5qz
teleport,Teleport,https://goteleport.com/
tential,Tential,http://www.tential.com/
terminusdb,TerminusDB,https://terminusdb.com/
testcoders,TestCoders,https://testcoders.nl/
testingil,TestinGil,https://www.everydayunittesting.com/
thenewstack,The New Stack,https://thenewstack.io
theodo,Theodo,https://www.theodo.co.uk
thinkevolve,ThinkEvolveConsulting,https://www.thinkevolveconsulting.com
tracetest,Tracetest,https://tracetest.io/
trendmicro,Trend Micro,https://www.trendmicro.com/en_gb/business.html
trivadis,Trivadiis,https://www.trivadis.com/en/index.html
twimbit,Twimbit,https://twimbit.com/
typeform,Typeform,https://try.typeform.com/home/?&tf_campaign=brand_9730468537_v2&tf_source=google&tf_medium=paid&tf_content=99905189739_531239628130&tf_term=typeform&tf_dv=c&tf_matchtype=e&tf_adposition=&gclid=CjwKCAjw7fuJBhBdEiwA2lLMYXFZrOJqw9ZSfczU-9CqK3Hhiyjia35dBvc_KKq_y3eiehHwyjuHlBoCc_gQAvD_BwE&gclsrc=aw.ds
typingdna,Typingdna,https://www.typingdna.com/?utm_term=typingdna&utm_campaign=Keystroke+dynamics&utm_source=adwords&utm_medium=ppc&hsa_tgt=kwd-1192095217658&hsa_grp=120400322538&hsa_src=g&hsa_net=adwords&hsa_mt=e&hsa_ver=3&hsa_ad=505229901575&hsa_acc=1252572295&hsa_kw=typingdna&hsa_cam=11645696150&gclid=CjwKCAjwruSHBhAtEiwA_qCppsgY96V98u2tyM4pXcXFP0I9eUeMKvPdHPnmwVgbyHaRxRhC1Y9MyRoCfLIQAvD_BwE
unpack,unpack.tech,https://www.unpack.tech/
unskript,unSkript,https://unskript.com/
uptimelabs,Uptime Labs,https://uptimelabs.io/
versatiledatakit,Versatile Data Kit,https://github.com/vmware/versatile-data-kit
vihat technologies,Vihat Technologies,https://vihattechnologies.com/
vmblog,VMBlog,https://vmblog.com
wescale,WeScale,https://www.wescale.fr/
westwing,Westwing,https://www.westwing.com/home/
wsei,College of Economics and Computer Science - Krakow,https://en.wsei.edu.pl/
xebia,Xebia,https://xebia.com/
ydb,YDB,https://ydb.tech/?utm_source=conf42
zapata,Zapata Computing,http://zapatacomputing.com
zenduty,Zenduty,http://www.zenduty.com/
zeti,Zeti,https://zeti.co.uk/
zuhlke,Zuhlke,https://www.zuehlke.com/en
zuplo,Zuplo,https://zuplo.com/
